frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
132,4.4,log1,group_02,traffic1.mp4,13,car,0.636,1177,1,1287,119,1232,60,1280,720,false,down,67.1
133,4.433,log1,group_02,traffic1.mp4,13,car,0.584,1179,3,1286,122,1232,62,1280,720,false,down,67.1
134,4.467,log1,group_02,traffic1.mp4,13,car,0.588,1181,5,1285,124,1233,64,1280,720,false,down,90.0
135,4.5,log1,group_02,traffic1.mp4,13,car,0.532,1184,10,1285,128,1234,69,1280,720,false,down,134.2
136,4.533,log1,group_02,traffic1.mp4,13,car,0.615,1187,13,1285,131,1236,72,1280,720,false,down,94.9
137,4.567,log1,group_02,traffic1.mp4,13,car,0.669,1190,17,1285,132,1237,74,1280,720,false,down,84.9
138,4.6,log1,group_02,traffic1.mp4,13,car,0.449,1194,19,1285,133,1239,76,1280,720,false,down,67.1
139,4.633,log1,group_02,traffic1.mp4,13,car,0.419,1203,21,1287,133,1245,77,1280,720,false,down,182.5
143,4.767,log1,group_02,traffic1.mp4,7,truck,0.556,525,189,1053,436,789,312,1280,720,false,up,185.1
144,4.8,log1,group_02,traffic1.mp4,7,truck,0.587,517,184,1052,435,784,309,1280,720,false,left,192.1
145,4.833,log1,group_02,traffic1.mp4,7,truck,0.579,511,179,1051,434,781,306,1280,720,false,left,127.3
146,4.867,log1,group_02,traffic1.mp4,7,truck,0.677,506,175,1050,435,778,305,1280,720,false,left,94.9
146,4.867,log1,group_02,traffic1.mp4,21,car,0.477,14,-3,172,131,93,64,1280,720,false,,0.0
147,4.9,log1,group_02,traffic1.mp4,7,truck,0.629,501,173,1049,434,775,303,1280,720,false,left,108.2
148,4.933,log1,group_02,traffic1.mp4,7,truck,0.72,495,172,1045,434,770,303,1280,720,false,left,150.0
149,4.967,log1,group_02,traffic1.mp4,7,truck,0.694,486,171,1037,434,761,302,1280,720,false,left,241.9
150,5.0,log1,group_02,traffic1.mp4,7,truck,0.723,474,174,1026,436,750,305,1280,720,false,left,371.1
151,5.033,log1,group_02,traffic1.mp4,7,truck,0.695,460,174,1014,436,737,305,1280,720,false,left,390.0
152,5.067,log1,group_02,traffic1.mp4,7,truck,0.707,446,173,1002,438,724,305,1280,720,false,left,390.0
